prefix_length,agent_count,return_pattern,scenario,trials,makespan_mean_ms,makespan_p95_ms,request_p95_mean_ms,relocated_fraction,ownership_relocated_fraction,full_prefix_hit_rate,reprefilled_tokens_mean,queue_relief_after_return_mean_ms,hbm_relief_mean_ms,speedup_vs_sticky,speedup_vs_reroute,speedup_vs_on_return
16384,8,multi-wave,on-return,3,952.9343337441484,966.537625528872,952.3812687645355,0.5,0.5,1,0,304.4377376014988,1467.5600820531447,0.9885644305317062,2.7095076206215505,1.0
16384,8,multi-wave,agentix-on-return,3,975.5725953727961,988.726275973022,835.045705238978,0.375,0.375,1,0,326.25114110608894,1487.779522004227,0.9656246920424346,2.6466332197913323,0.9767948979542656
16384,8,multi-wave,agentshift,3,942.0417885606488,944.0584871917963,692.0417885606488,0.5,0.5,1,0,0.0,1457.2608033195138,0.9999949029981342,2.740836840345179,1.0115626985084625
16384,8,simultaneous,sticky,3,712.7345995977521,719.7930170223117,712.7345995977521,0,0.0,1,0,0.0,0.0,1.0,3.6285082781635123,1.5661681245499972
16384,8,simultaneous,agentix,3,2092.1070066591105,2094.4206919521093,2092.1070066591105,0.375,0.0,0.625,49164,0.0,0.0,0.34067788948134126,1.2361525421703208,0.5335588512446434
16384,8,simultaneous,ttl,3,716.4945707966884,718.4381727129221,716.4945707966884,0,0.0,1,0,0.0,0.0,0.9947522684020403,3.6094668406187354,1.557949294595079
16384,8,simultaneous,tokencake-source,3,5691.7669121176,14324.984297156334,5691.7669121176,0,0.0,1,0,0.0,0.0,0.1252220286955816,0.45436916773034675,0.196118749834505
16384,8,simultaneous,reroute,3,2586.1633947739997,2593.375463038683,2586.1633947739997,0.5,0.0,0.5,65552,0.0,0.0,0.27559534754765047,1.0,0.4316286486034085
16384,8,simultaneous,ttl-reroute,3,2591.8156318366528,2619.76864002645,2591.8156318366528,0.5,0.0,0.5,65552,0.0,0.0,0.27499432862540574,0.9978191978653019,0.43068735192513735
16384,8,simultaneous,on-return,3,1116.2622111539047,1140.8874914050102,1116.2622111539047,0.5,0.5,1,0,465.8767158786456,1631.9204894825816,0.6385010551069203,2.3168063640715975,1.0
16384,8,simultaneous,agentix-on-return,3,964.7900223111113,994.0267130732536,964.7900223111113,0.375,0.375,1,0,315.3955570111672,1475.4305519163609,0.7387458235631711,2.6805453362576874,1.1570001610090748
16384,8,simultaneous,agentshift,3,691.7203506454825,695.7299346104264,691.7203506454825,0.5,0.5,1,0,0.0,1208.2896394034226,1.0303796887465577,3.738741230268428,1.6137478246986063
32768,8,multi-wave,sticky,3,969.4099236900607,975.648045539856,767.4564045543472,0,0.0,1,0,0.0,0.0,1.0,5.737956520156784,1.183926666134922
32768,8,multi-wave,agentix,3,3094.718907649318,3099.6072497218847,3094.718907649318,0.25,0.0,0.75,65544,0.0,0.0,0.3132465185429082,1.797394903489693,0.37086090637687624
32768,8,multi-wave,ttl,3,966.8725030496716,967.3086106777191,764.1718049223224,0,0.0,1,0,0.0,0.0,1.002624359088076,5.753014978497442,1.1870337148408083
