prefix_length,tool,scenario,trials,tool_mean_ms,prediction_mean_ms,prediction_abs_error_mean_ms,post_tool_mean_ms,post_tool_median_ms,post_tool_p95_ms,exposed_mean_ms,full_prefix_hit_rate,speedup_vs_reroute,speedup_vs_on_return,overhead_vs_sticky
4096,git-status,sticky,3,2.368574651579062,2.419481985270977,0.1600490262111028,41.605385641256966,41.67269356548786,42.40229818969965,0.0,1,3.2605096892465446,2.083502265417527,1.0
4096,git-status,reroute,3,2.617109256486098,2.419481985270977,0.24381466209888458,135.6547630081574,135.42468193918467,137.45449669659138,0.0,0,1.0,0.6390112172612477,3.2605096892465446
4096,git-status,agentix,3,2.4896739050745964,2.419481985270977,0.12679770588874817,41.66741855442524,41.66866932064295,41.963404044508934,0.0,1,3.255655562894245,2.080400424228404,1.0014909827709122
4096,git-status,ttl,3,2.497469075024128,2.419481985270977,0.16885312894980112,41.541834051410355,41.40124376863241,42.67661180347204,0.0,1,3.265497686988904,2.086689651926568,0.9984725153037978
4096,git-status,tokencake-source,3,3.084953874349594,2.419481985270977,0.6654718890786171,89.08277532706659,88.86931277811527,90.4546631500125,46.5976856648922,1,1.522794530256856,0.9730827864182034,2.141135671597521
4096,git-status,tokencake-remote,3,3.1134660045305886,2.419481985270977,0.6939840192596117,713.333597406745,705.6055050343275,729.4370150193572,670.5126569916805,1,0.190170158115806,0.12152086422434515,17.145222581457944
4096,git-status,symphony,3,3.043821081519127,2.419481985270977,0.6243390962481499,716.3281912604967,712.1231434866786,726.4546891674399,673.3260850111643,1,0.1893751560572405,0.12101284899117601,17.217198692425228
4096,git-status,on-return,3,2.706534850100676,2.419481985270977,0.3147864093383153,86.68491523712873,87.21581846475601,90.27898777276278,43.93925735106071,1,1.5649177557256697,1.0,2.083502265417527
4096,git-status,agentshift,3,2.9240002234776816,2.419481985270977,0.5045182382067045,83.14028661698103,82.78901688754559,86.15431655198336,39.70941683898369,1,1.631636941944948,1.0426343084006608,1.9983058764040633
4096,git-status,oracle,3,2.9981710637609162,2.419481985270977,0.5786890784899393,83.47760358204444,83.98302551358938,84.73790343850851,39.920177621146046,1,1.6250438104015719,1.0384212233875647,2.0064134076734987
4096,state-store-tests,sticky,3,399.4973301887512,399.15385097265244,3.647873799006144,43.363649398088455,42.694118805229664,45.34068889915943,0.0,1,3.0803791744588924,1.9705445198441067,1.0
4096,state-store-tests,reroute,3,397.9058799644311,399.15385097265244,2.813455338279406,133.57648253440857,133.25721211731434,134.61729604750872,0.0,0,1.0,0.639708428164613,3.0803791744588924
4096,state-store-tests,agentix,3,401.4797418688734,399.15385097265244,8.92457397033771,44.16092795630296,43.93071494996548,46.95809260010719,0.0,1,3.024766206601951,1.9349684355907735,1.0183858731744486
4096,state-store-tests,ttl,3,396.0195081308484,399.15385097265244,3.1343428418040276,41.98165703564882,42.01704170554876,42.32457559555769,0.0,1,3.181782044024174,2.0354127901450942,0.9681301647434556
