prefix_length,gap_ms,scenario,trials,post_tool_mean_ms,post_tool_median_ms,post_tool_p95_ms,next_turn_mean_ms,exposed_mean_ms,handoff_mean_ms,full_prefix_hit_rate,mean_cached_tokens,mean_transfer_bytes,speedup_vs_reroute,speedup_vs_on_return,overhead_vs_sticky
16384,100.0,sticky,3,46.28638240198294,46.19175661355257,46.51079420000315,46.28638240198294,0.0,0.0,1,16388,0,11.014822036818334,2.1994994073530028,1.0
16384,100.0,reroute,3,509.836264885962,512.5469136983156,517.3111567273736,509.836264885962,0.0,0.0,0,0,0,1.0,0.19968542387711014,11.014822036818334
16384,100.0,agentix,3,46.15068187316259,46.19663767516613,46.27541825175285,46.15068187316259,0.0,0.0,1,16388,0,11.04720979610142,2.2059667707938755,0.9970682407702154
16384,100.0,ttl,3,46.08638056864341,46.06706369668245,46.49604670703411,46.08638056864341,0.0,0.0,1,16388,0,11.062623243467467,2.209044611564572,0.995679035107938
16384,100.0,tokencake-source,3,78.2657020414869,79.79744300246239,81.25634305179119,47.0645185559988,31.201183485488098,131.8114921450615,1,16388,4833017856,6.514172256650929,1.300785248277852,1.6909012538887451
16384,100.0,symphony,3,2631.924094321827,2630.5763367563486,2637.832609936595,49.37351836512486,2582.5505759567022,2683.5386029755077,1,16388,4833017856,0.1937123741470715,0.03868153754179932,56.861736816335714
16384,100.0,shared-cas,3,2817.1189591909447,2812.6250775530934,2831.0664193704724,50.764137879014015,2766.3548213119307,2866.850921884179,1,16388,4833017856,0.18097789701872694,0.03613864807857248,60.862802686222835
16384,100.0,on-return,3,101.80687066167593,101.56954452395439,106.13922774791718,46.9505088403821,54.85636182129383,54.84831519424915,1,16388,2416508928,5.007876792326201,1.0,2.1994994073530028
16384,100.0,agentshift,3,48.30573375026385,48.30071423202753,49.9832583591342,48.29365729043881,0.01207645982503891,100.4633887981375,1,16388,2416508928,10.554363329243028,2.1075525151529213,1.0436273314847435
16384,100.0,oracle,3,47.7850791066885,47.80708719044924,48.59050828963518,47.7850791066885,0.0,100.34668352454901,1,16388,2416508928,10.669361114745962,2.130515896696004,1.0323787824179007
16384,500.0,sticky,3,47.53198195248842,46.91581800580025,49.12364762276411,47.53198195248842,0.0,0.0,1,16388,0,10.885814679394747,2.218473855781357,1.0
16384,500.0,reroute,3,517.4243468791246,515.7411163672805,521.2435936555266,517.4243468791246,0.0,0.0,0,0,0,1.0,0.20379493139641655,10.885814679394747
